Date mutation,Nature mutation,Valeur fonciere,Code postal,Commune,Surface reelle bati,Nombre pieces principales,Surface terrain,1er lot,2eme lot,3eme lot,4eme lot,5eme lot,Type local,Adresse,Voie_Complete,Nature culture,Surface Carrez du 1er lot,Surface Carrez du 2eme lot,Surface Carrez du 3eme lot,Surface Carrez du 4eme lot,Surface Carrez du 5eme lot
07-01-2019,Vente,583000,1960.0,PERONNAS,84.0,4.0,1002.0,,,,,,Appartement,51,RUE CHAUDOUET,S,,,,,
07-01-2019,Vente,583000,1960.0,PERONNAS,84.0,4.0,1002.0,,,,,,Appartement,51,RUE CHAUDOUET,S,,,,,
07-01-2019,Vente,583000,1960.0,PERONNAS,84.0,4.0,1002.0,,,,,,Appartement,51,RUE CHAUDOUET,S,,,,,
07-01-2019,Vente,583000,1960.0,PERONNAS,84.0,4.0,1002.0,,,,,,Appartement,51,RUE CHAUDOUET,S,,,,,
07-01-2019,Vente,583000,1960.0,PERONNAS,0.0,0.0,619.0,,,,,,Dependance,51,RUE CHAUDOUET,AG,,,,,
07-01-2019,Vente,583000,1960.0,PERONNAS,0.0,0.0,619.0,,,,,,Dependance,51,RUE CHAUDOUET,AG,,,,,
07-01-2019,Vente,583000,1960.0,PERONNAS,0.0,0.0,619.0,,,,,,Dependance,51,RUE CHAUDOUET,AG,,,,,
07-01-2019,Vente,583000,1960.0,PERONNAS,0.0,0.0,619.0,,,,,,Dependance,51,RUE CHAUDOUET,AG,,,,,
07-01-2019,Vente,583000,1960.0,PERONNAS,0.0,0.0,619.0,,,,,,Dependance,51,RUE CHAUDOUET,AG,,,,,
07-01-2019,Vente,583000,1960.0,PERONNAS,0.0,0.0,619.0,,,,,,Dependance,51,RUE CHAUDOUET,AG,,,,,
07-01-2019,Vente,583000,1960.0,PERONNAS,84.0,4.0,619.0,,,,,,Appartement,51,RUE CHAUDOUET,AG,,,,,
07-01-2019,Vente,583000,1960.0,PERONNAS,84.0,4.0,619.0,,,,,,Appartement,51,RUE CHAUDOUET,AG,,,,,
07-01-2019,Vente,583000,1960.0,PERONNAS,84.0,4.0,1002.0,,,,,,Appartement,51,RUE CHAUDOUET,S,,,,,
07-01-2019,Vente,583000,1960.0,PERONNAS,84.0,4.0,1002.0,,,,,,Appartement,51,RUE CHAUDOUET,S,,,,,
07-01-2019,Vente,583000,1960.0,PERONNAS,84.0,4.0,619.0,,,,,,Appartement,51,RUE CHAUDOUET,AG,,,,,
07-01-2019,Vente,583000,1960.0,PERONNAS,0.0,0.0,1002.0,,,,,,Dependance,51,RUE CHAUDOUET,S,,,,,
07-01-2019,Vente,583000,1960.0,PERONNAS,84.0,4.0,619.0,,,,,,Appartement,51,RUE CHAUDOUET,AG,,,,,
07-01-2019,Vente,583000,1960.0,PERONNAS,0.0,0.0,1002.0,,,,,,Dependance,51,RUE CHAUDOUET,S,,,,,
07-01-2019,Vente,583000,1960.0,PERONNAS,0.0,0.0,1002.0,,,,,,Dependance,51,RUE CHAUDOUET,S,,,,,
07-01-2019,Vente,583000,1960.0,PERONNAS,84.0,4.0,619.0,,,,,,Appartement,51,RUE CHAUDOUET,AG,,,,,
07-01-2019,Vente,583000,1960.0,PERONNAS,84.0,4.0,619.0,,,,,,Appartement,51,RUE CHAUDOUET,AG,,,,,
07-01-2019,Vente,583000,1960.0,PERONNAS,0.0,0.0,1002.0,,,,,,Dependance,51,RUE CHAUDOUET,S,,,,,
